molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL6060623,active,6.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)/C=C/CN3CCOCC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1003.2549999999991,5.671500000000007,3.0,12.0
CHEMBL5930570,active,6.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC(C)(C)N(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,987.2559999999992,6.126700000000007,3.0,11.0
CHEMBL5906328,active,6.552841968657781,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC3(N(C)C)COC3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1001.2389999999991,5.117100000000006,3.0,12.0
CHEMBL5770465,active,8.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,959.2019999999992,5.348100000000006,3.0,11.0
CHEMBL5782164,active,6.552841968657781,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN3[C@@H](C)COC[C@@H]3C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1029.2929999999992,5.895700000000008,3.0,12.0
CHEMBL5901195,active,6.552841968657781,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCN3[C@H](C)COC[C@@H]3C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,1029.2929999999992,5.895700000000008,3.0,12.0
CHEMBL6046086,active,6.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CCOC)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,946.1589999999993,5.432900000000005,3.0,11.0
CHEMBL6030396,active,8.0,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#C[C@@H]3CCCN3C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,985.2399999999991,5.880700000000006,3.0,11.0
CHEMBL5841071,active,6.519274621011513,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(S(=O)(=O)C=C(C)C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,968.2309999999994,6.510000000000007,3.0,11.0
CHEMBL6031665,active,7.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)c1ccc(NC(=O)/C=C/CN(C)C)cn1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,984.2119999999994,6.699700000000006,4.0,12.0
CHEMBL5944243,inactive,5.2777775360302694,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)c1ccc(NC(=O)/C=C/CN(C)C)nc1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,984.2119999999994,6.699700000000006,4.0,12.0
CHEMBL6067956,active,6.259637310505756,CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cc(O)cc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)c1nc(NC(=O)/C=C/CN(C)C)cs1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,990.2409999999994,6.761200000000007,4.0,13.0
